Budget currency,Date range,Advertiser account ID,Advertiser account name,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Ad group ID,Ad group name,Advertised product ID,Advertised product name,Advertised product parent ID,Advertised product brand,Advertised product category,Advertised product subcategory,Advertised product group,Advertised product SKU,Advertised product marketplace,Impressions,Clicks,CTR,Total cost,Purchases,Sales,Units sold,Cost per purchase,Purchase rate,ROAS,Purchases (promoted),Sales (promoted),Units sold (promoted),Cost per purchase (promoted),Purchase rate (promoted),ROAS (promoted),Purchases (halo),Sales (halo),Units sold (halo),Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Cost per purchase (new to brand),Purchase rate (new to brand),ROAS (new to brand),Detail page views,Cost per detail page view,Detail page view rate
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""422466067749037""",SP-Auto - Wooden Products - Generic,"=""304050272629409""",Auto,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,114736,395,0.3443%,2899.08,52,18852.35,64,55.75154,0.0453%,6.50287,42,14155.20,53,69.02571,0.0366%,4.88265,10,4697.15,11,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""434668412101024""",SP-PT - Wooden - Comp - Calendar Puzzle - Best selling - Brain Teaser Puzzles - Exact,"=""480131625002209""",Calendar Puzzle,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,21199,38,0.1793%,472.11,2,520.95,2,236.05500,0.0094%,1.10345,1,264.76,1,472.11000,0.0047%,0.56080,1,256.19,1,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""556800165272450""",SP-PT - Wooden - Comp - Puzzle Co - Calendar Puzzle - Exact,"=""334412694312199""",Calendar Puzzle,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,333,1,0.3003%,7.67,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,108066094626813,BA - Generic - Extremely High Volume,"=""345506724788622""","SP-KT - Mirror, Infinity & Combo - Open - High Volume - Exact","=""427492065631626""",Mirror - High Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,56225,548,0.9747%,3611.24,89,29860.01,90,40.57573,0.1583%,8.26863,64,22004.76,64,56.42563,0.1138%,6.09341,25,7855.25,26,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND","=""525770774800313""",Phrase - Mirror - Mid & Low Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,23714,299,1.2609%,2265.45,54,18876.21,54,41.95278,0.2277%,8.33221,36,13772.40,36,62.92917,0.1518%,6.07932,18,5103.81,18,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,162147707583156,BA - Branded - Cubelelo,"=""329970929951347""",SP-KT - Branded - Cubelelo - Mid & Low Volume - Exact & Phrase - UND,"=""360220929148821""",Mirror,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,329,13,3.9514%,50.87,5,1823.81,5,10.17400,1.5198%,35.85237,4,1348.57,4,12.71750,1.2158%,26.51012,1,475.24,1,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND","=""389003175272486""",Mirror - Mid & Low Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,6749,78,1.1557%,614.13,5,1632.38,5,122.82600,0.0741%,2.65804,5,1632.38,5,122.82600,0.0741%,2.65804,0,0.00,0,,,,,,,,,
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,162147707583156,BA - Branded - Cubelelo,"=""505382113206749""",SB-KT | All Products | Brand | Store | CPC | Phrase & Exact,"=""497483968325206""",Ad group - 3/9/2024 16:53:08.570,,,,,,,,,,187521,4687,2.4995%,19297.02,426,179675.38,436,45.29817,0.2272%,9.31104,394,154618.26,403,48.97721,0.2101%,8.01255,32,25057.12,33,327,132000.14,336,59.01229,0.1744%,6.84044,9777,1.97372,5.2138%
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,224382981785530,BA - SB New Restructure campaigns.,"=""334124855453438""","SBSL-KT - Generic - 2x2, 3x3, 4x4, 5x5, 6x6, 7x7 - Exact","=""429908011542855""",Generic - 3x3,,,,,,,,,,1325,40,3.0189%,154.91,4,775.24,4,38.72750,0.3019%,5.00445,4,775.24,4,38.72750,0.3019%,5.00445,0,0.00,0,4,775.24,4,38.72750,0.3019%,5.00445,76,2.03829,5.7358%
INR,"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,215664054810032,BA - Number Sliding Puzzle,"=""285100935665485""",SBV-KT - Generic - Number Sliding Puzzle - More than 1L Searches - Exact,"=""366169976798877""",Video - Number Sliding Puzzle,,,,,,,,,,84161,812,0.9648%,7592.99,130,33692.41,131,58.40762,0.1545%,4.43731,126,32650.51,127,60.26183,0.1497%,4.30009,4,1041.90,4,126,32783.84,127,60.26183,0.1497%,4.31765,1292,5.87693,1.5352%
