Budget currency,Date range,Advertiser account ID,Advertiser account name,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Ad group ID,Ad group name,Advertised product ID,Advertised product name,Advertised product parent ID,Advertised product brand,Advertised product category,Advertised product subcategory,Advertised product group,Advertised product SKU,Advertised product marketplace,Impressions,Clicks,CTR,Total cost,Purchases,Sales,Units sold,Cost per purchase,Purchase rate,ROAS,Purchases (promoted),Sales (promoted),Units sold (promoted),Cost per purchase (promoted),Purchase rate (promoted),ROAS (promoted),Purchases (halo),Sales (halo),Units sold (halo),Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Cost per purchase (new to brand),Purchase rate (new to brand),ROAS (new to brand),Detail page views,Cost per detail page view,Detail page view rate
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""315451570129574""","SP-KT - Maglev, Mastermorphix, Puppet, Snake, Square1, Megaminx - Open - Mid & Low Volume - Exact & Phrase - UND","=""391120880267490""",Unique - Mid & Low Volume - Exact & Phrase,B09BZPFCZ8,Cubelelo Drift Mastermorphix Stickerless Cube Puzzle for Kids & Adults Speedy Stress Buster Brainstorming Cube,B08BTYH1QF,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1270100,AMAZON_IN,12118,79,0.6519%,428.28,16,5556.15,16,26.76750,0.1320%,12.97317,13,4682.82,13,32.94462,0.1073%,10.93402,3,873.33,3,,,,,,,,,
INR,"Jun 07, 2026 - Jun 08, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,153505421940411,BA - Competition - Moyu,"=""508041836775444""",SP-KT - Comp - Moyu - Generic - High Volume - Exact,"=""314697139428353""",Moyu - Generic - High Volume,B0CQTHFSC2,Cubelelo MoYu MFJS RS3M v5 3x3 Speed Cube - Magnetic (Non-Adjustable) | Enhanced Stability with Magnets | Smooth & Fast Rotations | Speedcube for Kids & Adults | Brainstorming Puzzle,-1,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1030505,AMAZON_IN,2,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,14896671318530,BA - Tinker Box,"=""178894007177834""",BA - SP - Auto - Tinker Box - 0-2 Years - DO,"=""524300284583215""",Tinker Box,B0FQPD4BGR,"TinkerBox Play Gym | 0+ Months | Wooden Baby Activity Gym for Tummy Time, Sensory Play & Early Development | Supports Motor Skills & Hand-Eye Coordination | Safe Infant Learning Toy",-1,Tinker Box,10000 Activity Entertainment,10010 Playmats,Baby product,TB00006,AMAZON_IN,60358,572,0.9477%,3722.70,15,13320.02,15,248.18000,0.0249%,3.57805,15,13320.02,15,248.18000,0.0249%,3.57805,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 15, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""327104446426115""","SP-KT - Axis - Windmill - Fisher, Cylinder, Kids, Mini, Smart, Pyramid - Open - Mid & Low Volume - Exact & Phrase","=""423861844641216""",Axis - Windmill - Fisher - Mid & Low Volume - Exact & Phrase,B0CZ9JH3F5,"Cubelelo Drift Axis (Tiled) 3x3 Magic Cube Puzzle | Unique Shape Mod with Premium Design, Smooth Finish Toy for Intermediate & Advanced Solvers | Toys for Adults & Kids Girls Boys Ages 7-14 Years Old",B0F1YY4MBJ,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1180200,AMAZON_IN,1738,47,2.7043%,240.54,7,2555.24,7,34.36286,0.4028%,10.62293,7,2555.24,7,34.36286,0.4028%,10.62293,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 07, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""327104446426115""","SP-KT - Axis - Windmill - Fisher, Cylinder, Kids, Mini, Smart, Pyramid - Open - Mid & Low Volume - Exact & Phrase","=""338572243352605""","PT - Axis, Windmill, Fisher",B0CZ9JH3F5,"Cubelelo Drift Axis (Tiled) 3x3 Magic Cube Puzzle | Unique Shape Mod with Premium Design, Smooth Finish Toy for Intermediate & Advanced Solvers | Toys for Adults & Kids Girls Boys Ages 7-14 Years Old",B0F1YY4MBJ,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1180200,AMAZON_IN,13,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 16, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""315451570129574""","SP-KT - Maglev, Mastermorphix, Puppet, Snake, Square1, Megaminx - Open - Mid & Low Volume - Exact & Phrase - UND","=""391120880267490""",Unique - Mid & Low Volume - Exact & Phrase,B0CZ9JH3F5,"Cubelelo Drift Axis (Tiled) 3x3 Magic Cube Puzzle | Unique Shape Mod with Premium Design, Smooth Finish Toy for Intermediate & Advanced Solvers | Toys for Adults & Kids Girls Boys Ages 7-14 Years Old",B0F1YY4MBJ,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1180200,AMAZON_IN,2319,18,0.7762%,84.27,5,1709.51,5,16.85400,0.2156%,20.28610,5,1709.51,5,16.85400,0.2156%,20.28610,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,153505421940411,BA - Competition - Moyu,"=""535209545252680""",SP-KT - Comp - Moyu - Generic - Mid & Low Volume - Exact & Phrase,"=""342757652627825""",Moyu - Generic - Mid & Low Volume,B0CNXSVR8C,Cubelelo Drift 3M Plus v2 3x3 (Magnetic) Speed Cube | Based on MoYu RS3M v5 | Dual-Adjustment System | Speedcube for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle,-1,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1030651gp,AMAZON_IN,339,3,0.8850%,3.61,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,153505421940411,BA - Competition - Moyu,"=""535209545252680""",SP-KT - Comp - Moyu - Generic - Mid & Low Volume - Exact & Phrase,"=""544609417584184""",Phrase - Moyu - Generic - Mid & Low Volume,B0CNXSVR8C,Cubelelo Drift 3M Plus v2 3x3 (Magnetic) Speed Cube | Based on MoYu RS3M v5 | Dual-Adjustment System | Speedcube for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle,-1,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1030651gp,AMAZON_IN,4436,33,0.7439%,76.22,4,2092.37,4,19.05500,0.0902%,27.45172,4,2092.37,4,19.05500,0.0902%,27.45172,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""332675778194131""",SP-KT - Generic - 4x4 - Mid & Low Volume - Exact & Phrase - DO,"=""302493695958815""",Generic - 4x4 - Mid & Low Volume,B09HH8XQ14,Cubelelo Drift 4x4 (Black) Speedcube | Challenging Brain Teaser Puzzle Toy for Kids 7-14 Years Old Boys Girls & Adults All Ages | Fast Speed Cube for Intermediate and Advanced Cubers,B0CBBV1B5T,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1040300,AMAZON_IN,33344,405,1.2146%,3437.82,53,17787.61,54,64.86453,0.1589%,5.17410,42,14960.93,42,81.85286,0.1260%,4.35187,11,2826.68,12,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""332675778194131""",SP-KT - Generic - 4x4 - Mid & Low Volume - Exact & Phrase - DO,"=""318693646880033""",Phrase - Generic - 4x4 - Mid & Low Volume,B09HH8XQ14,Cubelelo Drift 4x4 (Black) Speedcube | Challenging Brain Teaser Puzzle Toy for Kids 7-14 Years Old Boys Girls & Adults All Ages | Fast Speed Cube for Intermediate and Advanced Cubers,B0CBBV1B5T,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1040300,AMAZON_IN,9402,132,1.4040%,1092.73,22,6589.52,22,49.66955,0.2340%,6.03033,18,5888.56,18,60.70722,0.1914%,5.38885,4,700.96,4,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,153505421940411,BA - Competition - Moyu,"=""508041836775444""",SP-KT - Comp - Moyu - Generic - High Volume - Exact,"=""314697139428353""",Moyu - Generic - High Volume,B0CNXSVR8C,Cubelelo Drift 3M Plus v2 3x3 (Magnetic) Speed Cube | Based on MoYu RS3M v5 | Dual-Adjustment System | Speedcube for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle,-1,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1030651gp,AMAZON_IN,5583,19,0.3403%,80.53,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""315451570129574""","SP-KT - Maglev, Mastermorphix, Puppet, Snake, Square1, Megaminx - Open - Mid & Low Volume - Exact & Phrase - UND","=""355780307112522""",Snake - Mid & Low Volume - Exact & Phrase,B0CS6C29ZQ,Cubelelo Magic Snake Rainbow Puzzle Cube (60 Wedges) | Twist and Turn Shape Creation Fun Game for Kids Boys Girls and Adults | Multicolor Brain Teaser Stress Buster Toy | for Ages 3 Years and Above,B0CT8VHGGD,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1310039,AMAZON_IN,6975,68,0.9749%,371.47,12,4312.37,12,30.95583,0.1720%,11.60893,11,3979.99,11,33.77000,0.1577%,10.71416,1,332.38,1,,,,,,,,,
INR,"Jun 02, 2026 - Jun 13, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,162147707583156,BA - Branded - Cubelelo,"=""329970929951347""",SP-KT - Branded - Cubelelo - Mid & Low Volume - Exact & Phrase - UND,"=""463035025528262""",Timer,B0BZL1B44T,Cubelelo Drift Timer & Discovery Mat Combo For Speedcubing | Competition Timer With Super Sensitive Touch Pad Anti-Slippery Cubing Mat | Sturdy & Cube Accessories For Cubers,B0CXY8QKHN,cubelelo,,,Home,CLB0127_EAN,AMAZON_IN,8,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
