"Accounts","Account ID","Country Name","Currency Code","Type","Spend","Impressions","Clicks","CTR","CPC","Sales","ACOS","ROAS"
"Cubelelo","AMWVXSAUT1MX8","India","INR","Sponsored ads","634833.45","9493975","86641","0.009125893000560882","7.32717","3907432.82998","0.16246816711197293","6.155051895863395"
"Cubelelo :The Puzzle Store","A2W6W14UX70FC5","India","INR","Sponsored ads","2004.3","9186","92","0.010015240583496626","21.78586","1568.58","1.2777799028420609","0.7826073941026792"
"Cubelelo :The Puzzle Store","A3R65YKV3M7KSU","United States","USD","Sponsored ads","0","0","0","0","0","0","0","0"
